City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
24,Bredasdorp,ZA,60.4,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
25,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
26,Yellowknife,CA,3.72,scattered clouds,62.456,-114.3525,The Explorer Hotel
27,Ironton,US,68.85,overcast clouds,38.5368,-82.6829,Best Western River Cities
28,Punta Arenas,CL,46.51,scattered clouds,-53.15,-70.9167,Hotel Hain
29,San Patricio,US,81.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
30,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Monte Patria,CL,76.33,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
33,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
34,Chabahar,IR,84.51,scattered clouds,25.2919,60.643,هتل گدروشیا
35,Ponnani,IN,83.52,scattered clouds,10.767,75.9252,Rouba Residency
36,Lebu,CL,60.49,very heavy rain,-37.6167,-73.65,Hostal Las Lilas
37,Nikolskoye,RU,42.69,clear sky,59.7035,30.7861,Tourist House - Sablino
38,Arraial Do Cabo,BR,76.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
39,Chuy,UY,67.23,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
40,Khatanga,RU,15.64,light snow,71.9667,102.5,"""Khatanga"""
41,Mae Sai,TH,82.38,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
42,Kruisfontein,ZA,60.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
